frame,direction,error_raw,error_filtered,angle_deg,v,straight_boost,left_cmd,right_cmd,fps
293,right,-0.3524,48.2132,28.46,39.5,0.0,79.0,0.0,50.0
294,right,9.0237,36.4563,1.30,30.4,0.0,60.9,0.0,50.0
295,right,9.0237,28.2265,1.30,30.4,0.0,60.9,0.0,49.8
296,right,44.0803,32.9827,0.29,30.1,0.0,0.0,60.2,49.4
297,right,106.4307,55.0171,0.12,30.0,0.0,0.0,60.1,49.3
298,right,106.4307,70.4412,0.12,30.0,0.0,0.0,60.1,49.2
299,right,29.5232,58.1658,0.42,30.1,0.0,60.3,0.0,48.6
300,right,1.1259,41.0538,6.70,32.2,0.0,64.5,0.0,48.4
301,right,-0.1969,28.6786,21.30,37.1,0.0,74.2,0.0,48.5
302,right,-0.1969,20.0160,21.30,37.1,0.0,74.2,0.0,48.9
303,right,32.7555,23.8378,0.38,30.1,0.0,0.0,60.3,48.8
304,right,130.9244,55.9638,0.10,30.0,0.0,0.0,60.1,48.7
305,right,130.9244,78.4520,0.10,30.0,0.0,0.0,60.1,49.1
306,right,64.7071,74.3285,0.20,30.1,0.0,0.0,60.1,49.4
307,right,64.7071,71.4421,0.20,30.1,0.0,0.0,60.1,49.5
308,right,32.9355,59.8901,0.38,30.1,0.0,60.3,0.0,49.2
309,right,1.1518,42.2686,6.60,32.2,0.0,64.4,0.0,49.4
310,right,1.1518,29.9336,6.60,32.2,0.0,64.4,0.0,49.7
311,right,6.5565,22.9205,1.73,30.6,0.0,61.2,0.0,49.2
312,right,69.4900,36.8913,0.18,30.1,0.0,0.0,60.1,49.6
313,right,69.4900,46.6709,0.18,30.1,0.0,0.0,60.1,49.5
314,right,51.4273,48.0978,0.25,30.1,0.0,0.0,60.2,49.3
315,right,151.0842,78.9937,0.08,30.0,0.0,0.0,60.1,49.6
316,right,151.0842,100.6209,0.08,30.0,0.0,0.0,60.1,49.8
317,right,30.9108,79.7078,0.40,30.1,0.0,60.3,0.0,49.9
318,right,30.9108,65.0687,0.40,30.1,0.0,60.3,0.0,50.1
319,right,18.0679,50.9685,0.67,30.2,0.0,60.4,0.0,49.9
320,right,63.6877,54.7842,0.20,30.1,0.0,0.0,60.1,50.1
321,right,63.6877,57.4553,0.20,30.1,0.0,0.0,60.1,50.3
322,right,134.7569,80.6458,0.09,30.0,0.0,0.0,60.1,50.3
323,right,66.5721,76.4237,0.19,30.1,0.0,0.0,60.1,50.3
324,right,66.5721,73.4682,0.19,30.1,0.0,0.0,60.1,50.5
325,right,60.0476,69.4420,0.21,30.1,0.0,0.0,60.1,50.4
326,right,60.0476,66.6237,0.21,30.1,0.0,0.0,60.1,50.5
327,right,23.6691,53.7373,0.52,30.2,0.0,60.3,0.0,50.4
328,right,186.8448,93.6696,0.07,30.0,0.0,0.0,60.0,50.5
329,right,186.8448,121.6221,0.07,30.0,0.0,0.0,60.0,50.6
330,right,53.6978,101.2448,0.24,30.1,0.0,60.2,0.0,50.6
331,right,56.1898,87.7283,0.23,30.1,0.0,60.2,0.0,50.7
332,right,56.1898,78.2668,0.23,30.1,0.0,0.0,60.2,50.9
333,right,67.0356,74.8974,0.19,30.1,0.0,0.0,60.1,50.3
334,right,28.1804,60.8823,0.45,30.1,0.0,60.3,0.0,49.4
335,right,28.1804,51.0717,0.45,30.1,0.0,60.3,0.0,49.6
336,right,33.8904,45.9173,0.37,30.1,0.0,0.0,60.2,49.7
337,right,33.8904,42.3092,0.37,30.1,0.0,0.0,60.2,49.9
338,right,55.1871,46.1726,0.23,30.1,0.0,0.0,60.2,49.9
339,right,55.1871,48.8769,0.23,30.1,0.0,0.0,60.2,49.1
340,right,45.4376,47.8451,0.28,30.1,0.0,0.0,60.2,49.2
